coding_problem_id,llm_answer_id,candidate_word_count,ai_word_count,shared_tokens,candidate_seq,ai_generated_seq
source_code_000,3.5-turbo_00,25,49,6,"[759, 1241, 31, 1192, 19, 6, 31, 500, 4, 5, 170, 216, 31, 3, 14, 134, 23, 31, 6, 134, 216, 216, 134, 4, 216]","[79, 41, 2594, 79, 125, 113, 83, 15, 269, 19, 31, 5, 55, 16, 65, 34, 19, 552, 31, 3, 14, 19, 7, 5, 7, 31, 24, 7, 6, 31, 7, 552, 552, 31, 7, 138, 122, 142, 17, 301, 511, 606, 333, 31, 138, 122, 142, 29, 552]"
source_code_000,3.5-turbo_01,25,49,5,"[759, 1241, 31, 1192, 19, 6, 31, 500, 4, 5, 170, 216, 31, 3, 14, 134, 23, 31, 6, 134, 216, 216, 134, 4, 216]","[79, 41, 83, 79, 125, 113, 83, 15, 269, 19, 84, 5, 55, 16, 65, 34, 19, 112, 84, 3, 14, 19, 7, 5, 7, 84, 24, 7, 6, 84, 7, 112, 112, 84, 7, 138, 122, 142, 17, 5, 55, 16, 65, 34, 138, 122, 142, 29, 112]"
source_code_000,4-turbo_00,25,112,9,"[759, 1241, 31, 1192, 19, 6, 31, 500, 4, 5, 170, 216, 31, 3, 14, 134, 23, 31, 6, 134, 216, 216, 134, 4, 216]","[79, 41, 83, 79, 125, 113, 83, 15, 269, 19, 31, 5, 55, 16, 65, 34, 161, 17, 31, 19, 552, 1241, 31, 2214, 2, 552, 289, 138, 122, 142, 552, 29, 2, 552, 289, 659, 13, 241, 2, 552, 289, 23, 2, 31, 79, 125, 19, 1241, 19, 84, 6, 84, 74, 84, 24, 3, 320, 56, 2595, 31, 68, 53, 92, 290, 19, 112, 84, 3, 945, 2, 199, 289, 28, 2, 552, 1854, 2016, 2, 31, 13, 241, 2, 552, 289, 14, 19, 7, 5, 7, 84, 24, 7, 6, 84, 7, 112, 112, 84, 7, 242, 112, 6, 171, 289, 28, 850, 4, 112, 4, 2, 552, 289]"
source_code_000,4-turbo_01,25,92,8,"[759, 1241, 31, 1192, 19, 6, 31, 500, 4, 5, 170, 216, 31, 3, 14, 134, 23, 31, 6, 134, 216, 216, 134, 4, 216]","[79, 41, 1242, 79, 125, 113, 83, 15, 269, 19, 84, 5, 55, 16, 65, 34, 161, 17, 19, 2215, 2216, 84, 138, 122, 142, 2215, 29, 2, 552, 45, 18, 13, 241, 2, 552, 289, 23, 67, 31, 79, 125, 19, 2216, 19, 31, 19, 112, 31, 3, 945, 199, 289, 28, 2, 552, 1854, 14, 19, 7, 5, 7, 31, 24, 7, 6, 31, 7, 112, 175, 6, 171, 289, 28, 850, 537, 112, 112, 31, 7, 242, 112, 6, 171, 289, 28, 2596, 4, 112, 4, 2, 552, 289]"
source_code_000,4_00,25,68,6,"[759, 1241, 31, 1192, 19, 6, 31, 500, 4, 5, 170, 216, 31, 3, 14, 134, 23, 31, 6, 134, 216, 216, 134, 4, 216]","[79, 41, 83, 79, 125, 113, 83, 15, 269, 358, 2, 31, 19, 31, 5, 55, 16, 65, 34, 945, 2, 199, 289, 28, 2, 552, 1854, 19, 552, 31, 3, 2016, 31, 321, 22, 2, 630, 364, 20, 708, 1193, 289, 50, 2, 171, 552, 14, 19, 7, 5, 7, 31, 24, 7, 6, 31, 7, 552, 552, 31, 7, 160, 2, 552, 138, 122, 142, 552]"
source_code_000,4_01,25,79,7,"[759, 1241, 31, 1192, 19, 6, 31, 500, 4, 5, 170, 216, 31, 3, 14, 134, 23, 31, 6, 134, 216, 216, 134, 4, 216]","[79, 41, 83, 79, 125, 113, 83, 15, 269, 358, 2, 17, 31, 19, 31, 5, 55, 16, 65, 34, 447, 2, 1242, 13, 2, 199, 289, 23, 2, 31, 19, 1242, 31, 3, 343, 205, 2, 31, 14, 19, 7, 5, 7, 31, 24, 7, 175, 6, 31, 7, 28, 850, 537, 1242, 6, 31, 7, 1242, 6, 2597, 2598, 31, 7, 13, 1242, 1242, 31, 7, 160, 2, 552, 289, 23, 2, 31, 138, 122, 142, 1242]"
source_code_001,3.5-turbo_00,25,56,5,"[36, 302, 226, 411, 36, 946, 947, 36, 302, 126, 36, 275, 36, 946, 947, 5, 160, 36, 302, 36, 275, 3, 36, 275, 5]","[79, 41, 819, 79, 125, 15, 819, 15, 136, 15, 114, 136, 126, 898, 27, 56, 898, 14, 19, 7, 114, 24, 5, 7, 3, 7, 27, 365, 114, 7, 6, 7, 3, 27, 365, 4, 27, 333, 79, 125, 113, 83, 15, 269, 15, 17, 226, 411, 15, 346, 819, 17, 138, 122, 142, 346]"
source_code_001,3.5-turbo_01,25,65,5,"[36, 302, 226, 411, 36, 946, 947, 36, 302, 126, 36, 275, 36, 946, 947, 5, 160, 36, 302, 36, 275, 3, 36, 275, 5]","[79, 41, 819, 79, 125, 15, 2217, 15, 17, 6, 17, 74, 17, 500, 4, 15, 114, 17, 126, 898, 346, 56, 898, 14, 19, 7, 114, 24, 5, 7, 3, 7, 346, 365, 114, 7, 6, 7, 3, 346, 365, 4, 346, 333, 79, 125, 113, 83, 15, 269, 15, 17, 226, 411, 15, 2218, 2217, 17, 138, 122, 142, 2218, 29, 411, 226]"
source_code_001,4-turbo_00,25,116,5,"[36, 302, 226, 411, 36, 946, 947, 36, 302, 126, 36, 275, 36, 946, 947, 5, 160, 36, 302, 36, 275, 3, 36, 275, 5]","[79, 41, 819, 79, 125, 15, 819, 15, 136, 126, 2, 17, 15, 297, 364, 148, 1082, 1194, 15, 114, 136, 126, 136, 898, 13, 1195, 2, 346, 114, 898, 346, 56, 898, 343, 205, 2, 114, 31, 22, 2, 286, 289, 13, 2, 199, 14, 19, 7, 114, 24, 5, 7, 3, 7, 346, 365, 114, 7, 365, 2, 75, 13, 2, 898, 6, 7, 3, 346, 365, 365, 9, 660, 6, 553, 53, 2, 286, 75, 4, 346, 333, 422, 898, 13, 15, 20, 4, 154, 83, 659, 13, 155, 2, 819, 18, 79, 125, 113, 83, 15, 269, 15, 17, 226, 411, 15, 346, 819, 17, 138, 122, 142, 346, 29, 411, 226]"
source_code_001,4-turbo_01,25,97,6,"[36, 302, 226, 411, 36, 946, 947, 36, 302, 126, 36, 275, 36, 946, 947, 5, 160, 36, 302, 36, 275, 3, 36, 275, 5]","[79, 41, 819, 79, 125, 113, 83, 15, 269, 15, 17, 226, 411, 15, 346, 819, 17, 138, 122, 142, 346, 18, 13, 275, 2, 168, 21, 114, 23, 9, 253, 15, 79, 125, 15, 819, 15, 136, 15, 114, 136, 126, 126, 2, 15, 227, 114, 898, 346, 56, 898, 270, 22, 2, 228, 13, 2, 2017, 21, 2, 114, 31, 14, 19, 7, 114, 24, 5, 7, 3, 7, 346, 365, 114, 7, 365, 2, 114, 23, 275, 168, 6, 7, 3, 365, 660, 6, 553, 53, 2, 286, 75, 346, 365, 4, 346, 333]"
